,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
1779,87441,-37.94005966,145.0053558,18 Service Street,Hampton,16050000,house,2009,3,1,0,SC_046,2896,19949,412,26,0,hospital_036,300,S_088,423
1780,87512,-37.930857,144.999442,21 Margarita Street,Hampton,21840000,house,2010,2,1,0,SC_046,3548,19949,812,26,0,hospital_036,1341,S_088,741
1781,87529,-37.9317627,145.0098267,23 Imbros Street,Hampton,13320000,house,2008,3,2,2,SC_046,2647,19949,1008,26,0,hospital_036,1302,S_088,893
1782,87565,-37.93452835,145.022049,27 Smith Street,Hampton,12750000,house,2009,3,1,0,SC_046,1533,19937,1289,38,0,hospital_110,1304,S_214,1211
1783,87666,-37.942427,145.01513,37 David Street,Hampton,18100000,house,2013,4,3,2,SC_046,2063,19948,1278,28,0,hospital_036,1002,S_214,698
1784,87688,-37.938043,145.012855,4 Fewster Road,Hampton,9240000,house,2012,3,1,1,SC_046,2243,19949,999,26,0,hospital_036,939,S_088,934
1785,87710,-37.934079,145.015858,40 Bateman Street,Hampton,16770000,house,2014,3,2,2,SC_046,2064,19949,1335,26,0,hospital_036,1414,S_088,1240
1786,87850,-37.945271,145.011288,6 Highett Road,Hampton,27000000,house,2016,3,2,2,SC_046,2460,19948,815,28,0,hospital_036,736,S_214,951
1787,87872,-37.94556,145.017763,61 Highett Road,Hampton,12960000,house,2012,2,1,1,SC_046,1928,19948,1274,28,0,hospital_036,1281,S_214,383
1788,87896,-37.93655777,145.0093231,66 Mills Street,Hampton,17220000,house,2009,3,2,1,SC_046,2568,19949,707,26,0,hospital_036,818,S_088,622
1789,87947,-37.93583679,144.9981995,78 Orlando Street,Hampton,20910000,house,2009,3,2,1,SC_046,3547,19949,373,26,0,hospital_036,879,S_088,385
1790,88025,-37.943963,145.04668,1/1 Maxwell Court,Moorabbin,5850000,house,2011,3,1,1,SC_079,757,19872,651,39,0,hospital_110,1492,S_069,757
